community_id,poi_category,poi_rank,poi_name,poi_type,distance_m,lat,lng,address
40,market,2,中心村肉菜市场(新苑综合楼店),购物服务;综合市场;农副产品市场|购物服务;综合市场;蔬菜市场,151,22.524282,114.046700,新洲中心村
40,market,3,钱大妈(嘉葆润金座店),购物服务;综合市场;农副产品市场,161,22.523554,114.047610,石厦北一街3缔馨园(石厦地铁站C口步行300米)
41,market,1,金龙蔬菜行(埔尾康乐楼店),购物服务;综合市场;蔬菜市场,224,22.538075,114.101025,巴登村34栋一楼(红岭南地铁站E口步行500米)
41,market,2,钱大妈(巴登村店),购物服务;购物相关场所;购物相关场所,231,22.537652,114.101240,东园路62-64号
41,market,3,新鲜蔬菜肉店,购物服务;综合市场;农副产品市场|购物服务;综合市场;蔬菜市场,290,22.538928,114.100152,深南中路1095号iN城市广场GF层
42,market,1,飞兰蔬菜店,购物服务;综合市场;蔬菜市场,59,22.520280,114.052084,石厦二街石厦村(石厦地铁站F口步行410米)
42,market,2,惠康源蔬菜水果店,购物服务;综合市场;蔬菜市场,88,22.520393,114.050733,石厦六街与石厦碉楼巷交叉口东80米
42,market,3,老三平价蔬果,购物服务;购物相关场所;购物相关场所,91,22.520259,114.050663,石厦东村204-1号(石厦地铁站F口步行480米)
43,market,1,明兴粮油副食批发部(坪山综合批发市场农贸市场店),购物服务;综合市场;农副产品市场,95,22.689925,114.341325,国泰路1号坪山综合批发市场农贸市场
43,market,2,曾不错生鲜,购物服务;综合市场;农副产品市场,193,22.689575,114.339875,东纵路与坪山国泰路交叉口北80米
43,market,3,菜惠达生鲜果蔬超市(坪山店),购物服务;综合市场;农副产品市场,208,22.689575,114.339725,东纵路与坪山国泰路交叉口北100米
44,market,1,钱大妈(畔山支路店),购物服务;综合市场;农副产品市场,418,22.563924,114.177515,雍翠豪园南(国威路)(莲塘地铁站A口步行220米)
44,market,2,钱大妈(梧桐山新居店),购物服务;综合市场;农副产品市场|购物服务;专卖店;专营店,873,22.568075,114.173875,莲塘街道莲塘畔山路梧桐山新居9栋23号铺
44,market,3,家满好肉菜生鲜水果便利店(莲馨园店),购物服务;综合市场;农副产品市场,902,22.563042,114.172904,国威路221-12号(莲塘地铁站D口步行270米)
45,market,1,佳和市场,购物服务;综合市场;综合市场,211,22.544925,114.084075,振华路与中航路交叉口西北60米(华强北地铁站C口旁)
45,market,2,叮咚买菜,购物服务;综合市场;蔬菜市场,253,22.547843,114.083025,十一号路与友谊路交叉口东40米
45,market,3,龙胜东铺市场(深南中路世纪汇广场店),购物服务;综合市场;综合市场,513,22.541241,114.083494,深南中路3018号世纪汇广场F3层
46,market,1,好乡亲果蔬便利店,购物服务;购物相关场所;购物相关场所,208,22.545929,114.091311,振兴路(桑达电子工业区内)金茂礼都
46,market,2,钱大妈(玮鹏花园店),购物服务;综合市场;农副产品市场,264,22.542600,114.094135,振中路玮鹏花园裙楼B6商铺
46,market,3,万物买菜,购物服务;综合市场;蔬菜市场,325,22.546175,114.090075,振兴路与兰海路交叉口西南80米
47,market,1,果百汇生鲜超市(安得街店),购物服务;综合市场;果品市场,95,22.565998,114.061019,金燕园西门旁(上梅林地铁站H口步行250米)
47,market,2,万物买菜,购物服务;综合市场;蔬菜市场,108,22.567825,114.061125,安得街10号海康大厦(上梅林地铁站H口步行70米)
47,market,3,钱大妈(振业梅苑店),购物服务;综合市场;农副产品市场|餐饮服务;餐饮相关场所;餐饮相关,175,22.567013,114.059415,中康路振业梅苑D栋106号商铺
48,market,1,愉园市场,购物服务;综合市场;农副产品市场,291,22.722168,114.236551,中心城吉福路27号
48,market,2,菜蓝子生鲜行,购物服务;综合市场;农副产品市场,351,22.723052,114.234996,宏福路37号宏兴苑
48,market,3,锦豪蔬菜新鲜水果(欧景城店),购物服务;综合市场;蔬菜市场,397,22.723165,114.236706,吉祥路435号欧景城
