date,city,category,scope,district,units,area_sqm,granularity,source_url
2026-06-01,深圳,新房,住宅,全市,66,8151.25,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-01,深圳,新房,住宅,全市,2413,282673.22,month,http://zjj.sz.gov.cn/xxgk/ztzl/pubdata/
2026-06-01,深圳,新房,住宅,光明,424,43729.96,month_district,http://zjj.sz.gov.cn/xxgk/ztzl/pubdata/
2026-06-01,深圳,新房,住宅,南山,282,54789.88,month_district,http://zjj.sz.gov.cn/xxgk/ztzl/pubdata/
2026-06-01,深圳,新房,住宅,坪山,110,10021.01,month_district,http://zjj.sz.gov.cn/xxgk/ztzl/pubdata/
2026-06-01,深圳,新房,住宅,大鹏,0,0.00,month_district,http://zjj.sz.gov.cn/xxgk/ztzl/pubdata/
2026-06-01,深圳,新房,住宅,宝安,523,62116.58,month_district,http://zjj.sz.gov.cn/xxgk/ztzl/pubdata/
2026-06-01,深圳,新房,住宅,深汕,0,0.00,month_district,http://zjj.sz.gov.cn/xxgk/ztzl/pubdata/
2026-06-01,深圳,新房,住宅,盐田,20,2339.15,month_district,http://zjj.sz.gov.cn/xxgk/ztzl/pubdata/
2026-06-01,深圳,新房,住宅,福田,60,7662.81,month_district,http://zjj.sz.gov.cn/xxgk/ztzl/pubdata/
2026-06-01,深圳,新房,住宅,罗湖,66,6439.27,month_district,http://zjj.sz.gov.cn/xxgk/ztzl/pubdata/
2026-06-01,深圳,新房,住宅,龙华,548,54701.12,month_district,http://zjj.sz.gov.cn/xxgk/ztzl/pubdata/
2026-06-01,深圳,新房,住宅,龙岗,380,40873.44,month_district,http://zjj.sz.gov.cn/xxgk/ztzl/pubdata/
2026-06-02,深圳,二手,住宅,全市,239,23393.51,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-02,深圳,新房,住宅,全市,97,12732.45,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-03,深圳,二手,住宅,全市,253,26887.99,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-03,深圳,新房,住宅,全市,116,14994.11,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-04,深圳,二手,住宅,全市,262,25445.35,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-04,深圳,新房,住宅,全市,126,14496.59,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-05,深圳,二手,住宅,全市,203,19795.28,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-05,深圳,新房,住宅,全市,100,10351.28,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-06,深圳,二手,住宅,全市,84,8437.53,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-06,深圳,新房,住宅,全市,53,5697.14,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-07,深圳,二手,住宅,全市,50,4580.40,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-07,深圳,新房,住宅,全市,34,4393.59,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-08,深圳,二手,住宅,全市,215,21315.03,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-08,深圳,新房,住宅,全市,87,10118.38,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-09,深圳,二手,住宅,全市,217,22736.55,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-09,深圳,新房,住宅,全市,83,9858.82,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-10,深圳,二手,住宅,全市,253,24523.69,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-10,深圳,新房,住宅,全市,95,9758.64,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-11,深圳,二手,住宅,全市,242,24982.45,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-11,深圳,新房,住宅,全市,87,9029.01,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-12,深圳,二手,住宅,全市,207,19754.16,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-12,深圳,新房,住宅,全市,103,11265.60,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-13,深圳,二手,住宅,全市,88,8140.40,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-13,深圳,新房,住宅,全市,46,6044.14,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-14,深圳,二手,住宅,全市,50,4835.97,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-14,深圳,新房,住宅,全市,42,4905.45,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-15,深圳,二手,住宅,全市,224,22212.42,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-15,深圳,新房,住宅,全市,68,7767.28,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-16,深圳,二手,住宅,全市,238,23434.43,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-16,深圳,新房,住宅,全市,101,11625.67,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-17,深圳,二手,住宅,全市,255,25466.08,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-17,深圳,新房,住宅,全市,142,17826.85,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-18,深圳,二手,住宅,全市,223,22399.46,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-18,深圳,新房,住宅,全市,108,11637.16,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-19,深圳,二手,住宅,全市,35,2997.86,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-19,深圳,新房,住宅,全市,50,5088.80,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-20,深圳,二手,住宅,全市,22,1968.54,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-20,深圳,新房,住宅,全市,38,3974.81,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-21,深圳,二手,住宅,全市,30,2693.67,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
2026-06-21,深圳,新房,住宅,全市,28,3208.98,city,https://fdc.zjj.sz.gov.cn/public/marketInfo/housePriceTrendInfo.html
